mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auroc,split1_test_auroc,split2_test_auroc,split3_test_auroc,split4_test_auroc,mean_test_auroc,std_test_auroc,rank_test_auroc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc
6.636079406738281,0.19507826791365418,2.3040415763854982,0.022144558696087686,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.895144157814871,0.898937784522003,0.8980273141122913,0.8952959028831563,0.9001517450682853,0.8975113808801213,0.0019891920616903207,8,0.7315650302200936,0.6919296670087809,0.6676015030955823,0.7130076304356623,0.705405526435145,0.7019018714390528,0.02140783314484928,6,0.6448863833897961,0.6432687110385097,0.6083684009148713,0.6433604050531222,0.6358077582051829,0.6351383317202964,0.013753598774470232,12
20.22843270301819,1.9071416732043316,2.849729633331299,0.01749056924984434,0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.8972685887708649,0.9004552352048558,0.9016691957511381,0.8981790591805766,0.9004552352048558,0.8996054628224582,0.001624735516154701,3,0.704458912260566,0.696528436868882,0.7030280331372614,0.6955660105797917,0.7218222423800529,0.7042807270453108,0.00943769080115613,2,0.6569790882719602,0.6598328938682626,0.6694805712993944,0.6537855686148787,0.6780443224056859,0.6636244888920364,0.008917030830596232,5
22.622901725769044,0.6456942153539817,5.999723958969116,0.06422594232117347,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.8963581183611533,0.9004552352048558,0.9004552352048558,0.8980273141122913,0.9003034901365705,0.8991198786039455,0.001660620821888225,6,0.7164524543939611,0.709625803324762,0.6932179985211835,0.6918990882470875,0.7321861741521749,0.7086763037278339,0.015063321248552952,1,0.664606923968362,0.667169005525813,0.6610067422688644,0.6548033210769668,0.6846341090944077,0.6664440203868828,0.0099984971635421,1
6.937925004959107,0.17437982973189414,2.3468496799468994,0.03447980740322728,0.3,linear,"{'C': 0.3, 'kernel': 'linear'}",0.895144157814871,0.898937784522003,0.8980273141122913,0.8952959028831563,0.9001517450682853,0.8975113808801213,0.0019891920616903207,8,0.6733947989434923,0.700943274327819,0.6974640780020527,0.6413252651385561,0.6916513282160511,0.6809557489255942,0.02197346002242801,14,0.608058786631592,0.6421691971214074,0.6396905046474592,0.5965457475688001,0.6327980382999152,0.6238524548538347,0.018228914122446503,14
20.602779150009155,0.46307980849673264,2.8302711963653566,0.031701496049041517,0.3,poly,"{'C': 0.3, 'kernel': 'poly'}",0.8963581183611533,0.9,0.9010622154779969,0.8986342943854325,0.9004552352048558,0.8993019726858877,0.0016749796329646577,5,0.6984183422908412,0.6973933789853553,0.7029882577555095,0.6950801991252176,0.7178176724212171,0.7023395701156281,0.008155142526821963,4,0.6538362289540137,0.6596664353108778,0.6713751654195961,0.6524017011002607,0.6761550383736742,0.6626869138316844,0.009488093681688849,6
30.872397422790527,2.8036270828041348,6.241155529022217,0.03190371316628125,0.3,rbf,"{'C': 0.3, 'kernel': 'rbf'}",0.8971168437025797,0.9003034901365705,0.9015174506828528,0.8981790591805766,0.9003034901365705,0.89948406676783,0.0015990215322997717,4,0.7093951980768027,0.7014226481483525,0.6920343935196936,0.6913263687329634,0.7233195354257926,0.7034996287807209,0.011929293064323025,3,0.6627162694796115,0.6677022519760464,0.6632271196440502,0.6535697089820083,0.6819823917583094,0.6658395483680052,0.009286438185503535,2
12.53644676208496,0.44458030847239977,2.742946434020996,0.05439217092951295,1,linear,"{'C': 1, 'kernel': 'linear'}",0.895144157814871,0.898937784522003,0.8980273141122913,0.8952959028831563,0.9001517450682853,0.8975113808801213,0.0019891920616903207,8,0.6759756004473236,0.721997326542549,0.6646020254636016,0.6618546501789664,0.7423581217239539,0.6933575448712789,0.032688646005702454,11,0.6248712988379678,0.638462194229465,0.6076272164883446,0.6135931123135985,0.6600284034829447,0.6289164450704641,0.018780171840045188,13
26.947550439834593,1.2531575829910953,2.8256697177886965,0.014944126879315768,1,poly,"{'C': 1, 'kernel': 'poly'}",0.8968133535660091,0.8975720789074355,0.9004552352048558,0.898937784522003,0.9015174506828528,0.8990591805766313,0.0017471123477540837,7,0.6999826873627404,0.6953432224588819,0.6974843105661808,0.6935891970982825,0.7173002795942152,0.7007399394160602,0.008551901382824648,7,0.6515763655048122,0.6538726525304606,0.6621341752500669,0.64605629491968,0.6697093574205725,0.6566697691251184,0.008322296000579196,7
42.06387963294983,0.5387915707940437,6.217012548446656,0.03580052873887041,1,rbf,"{'C': 1, 'kernel': 'rbf'}",0.8969650986342944,0.9015174506828528,0.9025796661608497,0.8986342943854325,0.9018209408194233,0.9003034901365705,0.0021395516518378545,1,0.7000380969985911,0.700458612450752,0.6907526145990825,0.6921570534397199,0.7179708464183809,0.7002754447813053,0.009693396681422778,8,0.6587189317715951,0.6676205269297247,0.6675511589074345,0.6535455646201631,0.6803535421610598,0.6655579448779955,0.009145558764538837,3
23.715863609313963,1.3699475302808002,3.461977958679199,0.05884570441034149,3,linear,"{'C': 3, 'kernel': 'linear'}",0.895144157814871,0.898937784522003,0.8980273141122913,0.8952959028831563,0.9001517450682853,0.8975113808801213,0.0019891920616903207,8,0.7187736812966499,0.6754346092724002,0.6183908489951773,0.698039671459945,0.5517341156612948,0.6524745853370935,0.0605132270021571,15,0.6280087786493773,0.6323174626527798,0.5955427717124268,0.6260669545421695,0.5829137686788631,0.6129699472471233,0.019895249280410126,15
