mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auroc,split1_test_auroc,split2_test_auroc,split3_test_auroc,split4_test_auroc,mean_test_auroc,std_test_auroc,rank_test_auroc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc
531.3387675762176,125.908950351384,1.1081891536712647,0.020749990631121932,0.001,32,"{'alpha': 0.001, 'batch_size': 32}",0.700625,0.698125,0.6986875,0.7051875,0.704375,0.7014000000000001,0.002894121196494696,1,0.8514134731899731,0.8466406012859568,0.851037635694385,0.852396949695438,0.8534471769396571,0.8509871673610819,0.0023287788093670943,2,0.7128396648918938,0.7032188522412198,0.7141659338683506,0.716993192062708,0.7176047176797095,0.7129644721487763,0.005180707620196078,2
259.5997289180756,34.95229962884334,1.0959741115570067,0.01233026261774488,0.001,64,"{'alpha': 0.001, 'batch_size': 64}",0.70225,0.699125,0.6959375,0.7005625,0.7034375,0.7002625000000001,0.002612290661469377,3,0.8517880149537684,0.8503286155005952,0.8464486764116511,0.8500213250932668,0.8541258480355637,0.8505424959989691,0.00250872286548254,4,0.7151116834829104,0.7075815347359348,0.7064585440279577,0.7080080849413997,0.7184230611751556,0.7111165816726717,0.0047581951340235195,4
182.29735989570617,21.173671083997842,1.0796606063842773,0.017735731485464916,0.001,128,"{'alpha': 0.001, 'batch_size': 128}",0.700875,0.701375,0.6974375,0.697375,0.697,0.6988125000000001,0.0019006577808748264,5,0.8505945983946231,0.850193566330422,0.8490539185407623,0.8487906769011291,0.8488501001400307,0.8494965720613935,0.0007488149172187647,5,0.7114942964792101,0.7152947976567132,0.7121997503724874,0.7087796854496909,0.7076264065535102,0.7110789873023224,0.0026984718398614053,5
600.2062587738037,234.7205380788991,0.9439618587493896,0.00833055044373239,0.01,32,"{'alpha': 0.01, 'batch_size': 32}",0.6994375,0.696125,0.6944375,0.698875,0.700375,0.6978500000000001,0.0022166275059197376,6,0.848809724076005,0.8477839926873566,0.8460294990051077,0.8515998165921242,0.8490445962936949,0.8486535257308576,0.0018165664270000043,6,0.7085989478572264,0.7076052339878726,0.7057670587646149,0.7108137102797891,0.7090453250607478,0.7083660551900501,0.0016637483770748198,6
353.08671708106993,109.75869364455733,1.0392496109008789,0.0351343570631298,0.01,64,"{'alpha': 0.01, 'batch_size': 64}",0.7024375,0.7025,0.6969375,0.6981875,0.70375,0.7007625,0.002683689158602405,2,0.8529053391337955,0.8531137356565269,0.8463541532436886,0.8503946281657022,0.8520696539111378,0.8509675020221701,0.0024974964135363103,3,0.7164769206778264,0.7157400531788968,0.7047281889687952,0.7111918340185667,0.7147041617427576,0.7125682317173685,0.004318824811716719,3
213.58750071525574,15.327792567669118,1.0805972576141358,0.014561431934020163,0.01,128,"{'alpha': 0.01, 'batch_size': 128}",0.699875,0.6981875,0.701625,0.693125,0.703125,0.6991875000000001,0.0034546164765426705,4,0.8537763122306927,0.8525361754477165,0.8516864153257654,0.851580854305552,0.8507551606428677,0.8520669835905188,0.0010241072923090888,1,0.7161841010496836,0.71601996685474,0.7148453815101448,0.713449130647729,0.7099485369736209,0.7140894234071836,0.0022909849565546352,1
715.2958878517151,160.4830180100408,0.8683331489562989,0.025604788719499196,0.1,32,"{'alpha': 0.1, 'batch_size': 32}",0.687,0.6868125,0.685875,0.6875,0.6829375,0.686025,0.0016310464432382258,9,0.8358036139386659,0.8365314273340773,0.8358259397431799,0.8398685948036174,0.8357433473489658,0.8367545846337012,0.0015834257772477634,9,0.6888993937069959,0.6907421244231475,0.6889818380818123,0.6962562209990888,0.6938771942139402,0.691751354284997,0.002885670236442299,9
427.6614610671997,152.66319878788124,0.9037308692932129,0.011427915726940937,0.1,64,"{'alpha': 0.1, 'batch_size': 64}",0.69025,0.6918125,0.677875,0.6929375,0.6970625,0.6899875000000001,0.006463285735599199,8,0.841316780925153,0.8401886368313839,0.831099431559481,0.8451998466852868,0.8447657752658535,0.8405140942534317,0.00508761573532076,8,0.697243035866968,0.6943587899017861,0.6852932021151427,0.7028570107417811,0.7049057049918614,0.6969315487235079,0.006940684293264679,8
261.9738335132599,79.76676699610118,0.9299835681915283,0.04206762186501995,0.1,128,"{'alpha': 0.1, 'batch_size': 128}",0.6996875,0.6949375,0.6954375,0.6954375,0.693125,0.695725,0.0021562409420099677,7,0.846209265709164,0.8437600652919538,0.8423115594072716,0.8479969429963649,0.842578908924677,0.8445713484658862,0.002197822244231127,7,0.7061419533104433,0.7030509405330663,0.7006254494235665,0.7068394288117164,0.7012324031967747,0.7035780350551134,0.0025182511954634328,7
330.7395946025848,56.63184544185958,0.8766197681427002,0.01959731815651315,1,32,"{'alpha': 1, 'batch_size': 32}",0.63725,0.6349375,0.6336875,0.635125,0.64775,0.6377499999999999,0.00512941882672883,12,0.7958601136911314,0.7949183868269781,0.7941965680466972,0.7935953999512358,0.7921912604477169,0.794152345792752,0.0012378440991894682,12,0.6351929739217849,0.6353037727696191,0.6324767321960921,0.6334982724129518,0.6273860082420138,0.6327715519084923,0.0028946346572219245,12
