mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auroc,split1_test_auroc,split2_test_auroc,split3_test_auroc,split4_test_auroc,mean_test_auroc,std_test_auroc,rank_test_auroc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc
0.8380682468414307,0.02839932155610077,0.016701555252075194,0.001569953685672833,2,100,"{'max_depth': 2, 'max_iter': 100}",0.8972685887708649,0.9001517450682853,0.9013657056145675,0.898937784522003,0.9003034901365705,0.8996054628224582,0.0013993495457843548,20,0.7923154882117724,0.7880790651819642,0.8025896072675369,0.7747287916744838,0.8022768269788323,0.791997955862918,0.010310391201341251,20,0.7047036193891263,0.7047186818488035,0.7157617834494034,0.6892073467750073,0.7115148045916879,0.7051812472108058,0.009029610028967754,20
1.2392614364624024,0.1923364686827179,0.13425469398498535,0.15425429165350063,2,200,"{'max_depth': 2, 'max_iter': 200}",0.8981790591805766,0.9001517450682853,0.9013657056145675,0.8992412746585736,0.8998482549317147,0.8997572078907435,0.0010495670085457173,17,0.793464605888044,0.7908101164659964,0.8039302445565206,0.7801965271723336,0.8052115902423342,0.7947226168650458,0.009194525577383738,19,0.7060412754174199,0.703423272330956,0.7167311538913583,0.6925981338255061,0.716362541384866,0.7070312753700212,0.008983023204340038,19
2.192464542388916,0.26636676202000703,0.19288711547851561,0.15592412038334272,2,300,"{'max_depth': 2, 'max_iter': 300}",0.8975720789074355,0.8990895295902883,0.9018209408194233,0.9001517450682853,0.8998482549317147,0.8996965098634295,0.0013874512231456583,19,0.7955368343026572,0.7909131186106482,0.8034500660317321,0.7813827762020902,0.8064334227039689,0.7955432435702192,0.008978538603880277,17,0.7087176513665534,0.7039203895671058,0.7175920910790283,0.6936455921887872,0.7179475678789279,0.7083646584160805,0.009094005801085278,18
2.877724552154541,0.14633037510260313,0.28482561111450194,0.23070751008189128,2,400,"{'max_depth': 2, 'max_iter': 400}",0.8981790591805766,0.8986342943854325,0.9012139605462822,0.9004552352048558,0.9006069802731411,0.8998179059180575,0.0011886589394577206,16,0.7957981332700607,0.7926616259992127,0.8030138013677213,0.783397755656841,0.8064453643049472,0.7962633361197566,0.008098819286285412,14,0.7092259883579507,0.705296202127129,0.7174829440335792,0.6956344937421025,0.719773494432642,0.7094826245386806,0.008709418309981808,17
1.2461607456207275,0.2573818491783377,0.17036380767822265,0.20249543639576373,4,100,"{'max_depth': 4, 'max_iter': 100}",0.9,0.9009104704097117,0.9006069802731411,0.8998482549317147,0.9009104704097117,0.9004552352048559,0.00045014861833662375,12,0.7985221721312983,0.791536649450594,0.8047544916292364,0.7842099321657305,0.8086558235398811,0.797535813783348,0.008835224085407512,12,0.7144888914740923,0.7061232687989701,0.7185388944356836,0.701363141144776,0.7231578072010645,0.7127344006109173,0.00798035584890155,12
3.156851625442505,0.714679236396965,0.1632138729095459,0.2127433541696838,4,200,"{'max_depth': 4, 'max_iter': 200}",0.8993930197268589,0.9004552352048558,0.9006069802731411,0.9006069802731411,0.9016691957511381,0.900546282245827,0.000722025933436741,11,0.7986663291507106,0.7926226553217162,0.8032260133755642,0.7890175802589032,0.8095053995556346,0.7986075955325058,0.007319607473248377,9,0.7142140995852779,0.7073033410365218,0.7179409322696046,0.7063690421735183,0.7246327173028141,0.7140920264735474,0.006806847688777785,7
3.557085561752319,0.044734197245876066,0.14957032203674317,0.21761228068875638,4,300,"{'max_depth': 4, 'max_iter': 300}",0.8993930197268589,0.8992412746585736,0.9012139605462822,0.9,0.9013657056145675,0.9002427921092565,0.0008931070694726448,15,0.7984750394535001,0.7937854529703243,0.803817011172054,0.7901093340175619,0.8103699025726112,0.7993113480372103,0.007190335444919843,7,0.7134495397869978,0.7067022966209222,0.7174980840482608,0.7079915323587589,0.7246992647460953,0.714068143512207,0.006577975446524514,8
5.070565128326416,0.5489830664140192,0.18094067573547362,0.21027092169329759,4,400,"{'max_depth': 4, 'max_iter': 400}",0.8986342943854325,0.8983308042488619,0.9013657056145675,0.8993930197268589,0.9009104704097117,0.8997268588770865,0.0012116822323324477,18,0.7984646932559345,0.7933503378838209,0.8031971589801317,0.7913592696412215,0.8102912487584755,0.7993325417039168,0.00685771853984756,6,0.7127355618818789,0.7065881492899272,0.7173977155299575,0.7082338460324683,0.7250551120160149,0.7140020769500495,0.006686446249253631,9
2.204432964324951,0.262021141411118,0.0393186092376709,0.03660804285959487,8,100,"{'max_depth': 8, 'max_iter': 100}",0.8992412746585736,0.9003034901365705,0.9018209408194233,0.9004552352048558,0.9016691957511381,0.9006980273141123,0.0009529783592174512,10,0.8070275512343703,0.7925020646412031,0.8002498721669812,0.7890194195829148,0.8165308500927196,0.8010659515436378,0.009938096746493806,1,0.7180192088057145,0.7096327813662504,0.7141395807094688,0.7051992002247953,0.7303236201400922,0.7154628782492642,0.008584412712512991,2
4.344615745544433,0.00795127103910526,0.03184089660644531,0.000582565435247518,8,200,"{'max_depth': 8, 'max_iter': 200}",0.8990895295902883,0.8996965098634294,0.9028831562974203,0.9012139605462822,0.9030349013657056,0.9011836115326253,0.0016070655289679861,3,0.8037842482130968,0.7897126148198015,0.8004497836954962,0.7889717121163631,0.8145200682049133,0.7994876854099341,0.009502592455541425,5,0.7143574806673894,0.7075098739341865,0.7152075580693296,0.7067169466107301,0.730222559737215,0.7148028838037701,0.00844628823040266,4
