mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auroc,split1_test_auroc,split2_test_auroc,split3_test_auroc,split4_test_auroc,mean_test_auroc,std_test_auroc,rank_test_auroc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc
9.084763717651366,3.0236352352752056,0.05975961685180664,0.0028241730743345014,"(64,)","{'hidden_layer_sizes': (64,)}",0.6189375,0.626625,0.6229375,0.6231875,0.63025,0.6243875000000001,0.0038110448042498594,14,0.8373233059755995,0.8396939876512013,0.8366386516742557,0.8389637225683769,0.84396633043451,0.8393171996607887,0.002570274831209259,14,0.6948101183246923,0.6947009292289352,0.6941007786253017,0.6977677433118802,0.7031905628653745,0.6969140264712368,0.003387103006599321,14
19.63521909713745,4.677047244587351,0.13527798652648926,0.00866839652784348,"(256,)","{'hidden_layer_sizes': (256,)}",0.6283125,0.633875,0.624375,0.629,0.6363125,0.630375,0.004234346171488551,13,0.8414462078372263,0.8420762793705316,0.8409144065790635,0.8421158601612725,0.8456723845343426,0.8424450276964872,0.0016733559614943566,12,0.6973372149855162,0.699153337115829,0.6953597955878595,0.6998823449921581,0.7089696945721102,0.7001404774506945,0.004684215044301146,11
35.01746888160706,18.01423007848149,0.25643177032470704,0.00909181091867335,"(512,)","{'hidden_layer_sizes': (512,)}",0.639375,0.632875,0.6354375,0.6388125,0.6378125,0.6368625,0.0024061769469430326,11,0.8405334562239107,0.8400715653013152,0.84115910571744,0.843422737108746,0.8431378492952938,0.8416649427293411,0.0013663293347518065,13,0.6962082911146191,0.6920079893938876,0.6980792255518389,0.701728156451869,0.7037295438098466,0.6983506412644122,0.004128747142628175,13
66.41212177276611,17.14156776849907,0.487064790725708,0.017333192455554938,"(1024,)","{'hidden_layer_sizes': (1024,)}",0.6343125,0.637375,0.6433125,0.6444375,0.638125,0.6395125,0.0038007811697070887,10,0.8413973307331596,0.8418864244702225,0.8433711320893927,0.8438305465278226,0.8454253436893365,0.8431821555019867,0.001438925618573341,10,0.6932633280039395,0.7010603921395552,0.6999464130235534,0.7036789903212016,0.7042468201273016,0.7004391887231102,0.003927239996251647,10
143.11178655624389,26.088496860259944,0.8160791873931885,0.07033426204480304,"(2048,)","{'hidden_layer_sizes': (2048,)}",0.633375,0.633125,0.6404375,0.6381875,0.633,0.635625,0.0030961165191251976,12,0.8416003100695497,0.8416659911288481,0.8412494069168795,0.843410348693786,0.8453007333453764,0.842645358030888,0.0015255289612541082,11,0.6980162404956362,0.6977395812771024,0.6972788404398894,0.7016448062418016,0.7049207955232365,0.6999200527955333,0.002944050349522728,12
24.16291208267212,5.385698314862681,0.12684664726257325,0.004502751423973462,"(128, 64)","{'hidden_layer_sizes': (128, 64)}",0.655125,0.6458125,0.6514375,0.6451875,0.6411875,0.64775,0.004926966612429983,9,0.8445927646660536,0.8406552061054327,0.8443148798240475,0.8468209550071538,0.8479145194357659,0.8448596650076908,0.002498971604007729,6,0.7003588492921192,0.6932891847126066,0.7011787787554885,0.7090794479230967,0.709009436876217,0.7025831395119057,0.005946370535297696,8
32.92617392539978,7.514359718914066,0.22375798225402832,0.006112897470374491,"(256, 128)","{'hidden_layer_sizes': (256, 128)}",0.64925,0.6524375,0.6504375,0.6484375,0.642625,0.6486374999999999,0.0032937915082773533,8,0.846635052697268,0.8451640573208034,0.8450571350257116,0.8452975652960202,0.8437702775595977,0.8451848175798802,0.0009092360788240362,5,0.7065184798096235,0.7002319616436735,0.7032631353838322,0.7046919096284797,0.7024124557409115,0.703423588441304,0.002117621654231237,6
76.08746423721314,12.299831753586266,0.45673036575317383,0.01738048863493235,"(512, 256)","{'hidden_layer_sizes': (512, 256)}",0.650375,0.65475,0.654,0.64575,0.6513125,0.6512375,0.0031884557390686784,6,0.8483730375501696,0.847447398676188,0.8461893281155431,0.8462869172277956,0.84961354460855,0.8475820452356493,0.0012952069929601739,2,0.7074509642238304,0.7068692096503751,0.7044050778289725,0.704937752356396,0.7130317300957941,0.7073389468310736,0.0030664084672790844,3
240.06443848609925,10.542640505281701,1.0595118522644043,0.02527251740196355,"(1024, 512)","{'hidden_layer_sizes': (1024, 512)}",0.651,0.649,0.648625,0.6514375,0.654625,0.6509375000000001,0.002142574386106582,7,0.8484209065386135,0.8480307800620245,0.8474575057340449,0.8497101605191258,0.8523055957169566,0.8491849897141531,0.001727090624192564,1,0.7073936756994827,0.7060846195910099,0.7074808987934434,0.7111559738899408,0.7155268116713224,0.7095283959290398,0.003442059612534453,1
495.1758100032806,71.09925325988577,1.742319393157959,0.10034879228519189,"(2048, 512)","{'hidden_layer_sizes': (2048, 512)}",0.653125,0.657875,0.6534375,0.651125,0.6445625,0.652025,0.0043342026371640556,4,0.8472202195282047,0.8474840453859686,0.8400655517203197,0.8469198203074392,0.8405052128794369,0.8444389699642738,0.003398931709373223,7,0.7056305111177358,0.7072928560496806,0.6992238945943153,0.7057328412452976,0.7033967137633681,0.7042553633540795,0.002805469342796988,5
27.457126665115357,10.22914802858216,0.16397457122802733,0.005080819664219376,"(128, 64, 32)","{'hidden_layer_sizes': (128, 64, 32)}",0.653375,0.653875,0.6415,0.65475,0.653,0.6513,0.004934951874132135,5,0.8443265060309804,0.8372678672114531,0.8436820140475695,0.8476794724665244,0.8481776774351101,0.8442267074383276,0.00390547969416338,9,0.6983457348868126,0.6901661230267745,0.7040089153321017,0.7078991077798381,0.70822364289798,0.7017287047847014,0.006791100597060137,9
