Accuracy,AUROC,AUPRC,min_samples_leaf,max_depth,criterion
0.6795249999999999,0.7379960344657911,0.7110283985178063,1,,gini
0.680475,0.7397337900487407,0.713842432860357,1,,entropy
0.7027125,0.8451894034700966,0.7011564840571702,1,8.0,gini
0.7017249999999999,0.8461799266868459,0.7019032616860005,1,8.0,entropy
0.7010375,0.7957695543310276,0.6515789298359336,1,16.0,gini
0.6957375000000001,0.8000951191940491,0.6692064111307436,1,16.0,entropy
0.6811625,0.7359775279394303,0.6926731486164217,1,32.0,gini
0.6802625000000001,0.7403297746482406,0.7100369353161041,1,32.0,entropy
0.6781625,0.7369233278627119,0.710198170613106,1,64.0,gini
0.68005,0.7393482405907976,0.7133654074293219,1,64.0,entropy
0.699375,0.8276631711802777,0.724345583767146,8,,gini
0.6879500000000001,0.8225642073335813,0.721158214360825,8,,entropy
0.7025625000000001,0.8461931435568231,0.7071143540483681,8,8.0,gini
0.7015374999999999,0.846903851246258,0.7062999447206386,8,8.0,entropy
0.700375,0.8362166533383579,0.7004966507019226,8,16.0,gini
0.6974374999999999,0.8331825667652272,0.7068406771180918,8,16.0,entropy
0.6991375000000001,0.8275842167351675,0.7231648134708053,8,32.0,gini
0.6881875,0.8225060466743525,0.7209531324436635,8,32.0,entropy
0.699125,0.8276620455832588,0.724772764611182,8,64.0,gini
0.6883625,0.8223461247372352,0.7209398552523842,8,64.0,entropy
0.7082124999999999,0.8419541647431383,0.7202351083793593,16,,gini
0.700975,0.8399381639490378,0.7203626199177128,16,,entropy
0.7028375,0.8467357005482642,0.7084257529640154,16,8.0,gini
0.7017749999999999,0.8473817752729665,0.7070917847458706,16,8.0,entropy
0.703175,0.8444702109472351,0.7097180851542315,16,16.0,gini
0.6983374999999999,0.8415346945920504,0.7110791615507666,16,16.0,entropy
0.7078875,0.841767355845505,0.7200344127172689,16,32.0,gini
0.70105,0.8400626519897514,0.7203772764971464,16,32.0,entropy
0.7082999999999999,0.8422953851276469,0.7208863921724312,16,64.0,gini
0.70085,0.839904584039503,0.7201080631777426,16,64.0,entropy
0.7098375000000001,0.8482969464205394,0.717889367988819,32,,gini
0.70545,0.8473218149723352,0.7161361588738959,32,,entropy
0.7025,0.846418225229361,0.7094153342607873,32,8.0,gini
0.7016125000000001,0.8471795010693424,0.7069121903738415,32,8.0,entropy
0.7071500000000001,0.8479279790599303,0.7117804603032832,32,16.0,gini
0.7031875000000001,0.8476098732629517,0.7136587090477983,32,16.0,entropy
0.7096875,0.8482761744410185,0.7180137679503658,32,32.0,gini
0.7055625,0.8473438679204636,0.7161544760148448,32,32.0,entropy
0.709775,0.8483542621830695,0.7179576765926453,32,64.0,gini
0.7056125,0.8472966300076873,0.7160230538949017,32,64.0,entropy
0.7066125,0.8491370690320386,0.7141496733693365,64,,gini
0.705125,0.8508160270212397,0.7162734525614735,64,,entropy
0.7020375000000001,0.8463324992205059,0.707881066658478,64,8.0,gini
0.7021249999999999,0.8470648499517786,0.7062622946405193,64,8.0,entropy
0.7063,0.8488483265075203,0.7124140410510782,64,16.0,gini
0.7049749999999999,0.8507774521124987,0.7154192446151012,64,16.0,entropy
0.7065875,0.849069041817651,0.7140615982917582,64,32.0,gini
0.705125,0.850822825366763,0.716319220194751,64,32.0,entropy
0.7066125,0.8491476295606171,0.7140821171412033,64,64.0,gini
0.705125,0.850811588474504,0.7162940573785143,64,64.0,entropy
0.704425,0.8497281034020041,0.714474774828676,128,,gini
0.7036874999999999,0.8511641908860895,0.7165374572282885,128,,entropy
0.7003750000000001,0.8462034789377805,0.7080712041189126,128,8.0,gini
0.7013,0.8469044927462356,0.7066890711591461,128,8.0,entropy
0.7038874999999999,0.8494224441139655,0.7133472408003634,128,16.0,gini
0.7034125000000001,0.8508984317734836,0.7157832790943288,128,16.0,entropy
0.704425,0.8497328707069185,0.7144859345539968,128,32.0,gini
0.7036874999999999,0.8511641908860895,0.7165374572282885,128,32.0,entropy
0.704425,0.8497278941823883,0.7144684154488485,128,64.0,gini
0.7036874999999999,0.8511622055001148,0.71651877291217,128,64.0,entropy
0.6992625,0.846674142935386,0.7105438623197986,256,,gini
0.6995625000000001,0.8476719091855486,0.7111364337564278,256,,entropy
0.6974125,0.844421328364707,0.7107014162664366,256,8.0,gini
0.6988875,0.8451518434523477,0.706103545691769,256,8.0,entropy
0.6992499999999999,0.8466838729218751,0.7105567980784951,256,16.0,gini
0.6995625000000001,0.8476566855347961,0.711104939789944,256,16.0,entropy
0.6992625,0.846674142935386,0.7105438623197986,256,32.0,gini
0.6995625000000001,0.8476719091855486,0.7111364337564278,256,32.0,entropy
0.6992625,0.846674142935386,0.7105438623197986,256,64.0,gini
0.6995625000000001,0.8476719091855486,0.7111364337564278,256,64.0,entropy
