Accuracy,AUROC,AUPRC,n_neighbors,weights,metric
0.727175,0.8697623711905452,0.7472630043099284,16,distance,manhattan
0.6883875,0.8396331840377538,0.7017522413572573,16,distance,cosine
0.6892375000000001,0.8403681526894861,0.7016204382124505,16,distance,l2
