mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_iter,param_max_leaf_nodes,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auroc,split1_test_auroc,split2_test_auroc,split3_test_auroc,split4_test_auroc,mean_test_auroc,std_test_auroc,rank_test_auroc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc
4.43904185295105,0.7331984594466079,0.10212349891662598,0.002365932649194624,100,64,"{'max_iter': 100, 'max_leaf_nodes': 64}",0.7273125,0.7324375,0.7276875,0.7250625,0.7338125,0.7292625,0.003307756036953115,20,0.8737508999683145,0.8757348386525606,0.8719680400166417,0.8743392970239313,0.8773009691893927,0.8746188089701683,0.0018054071397963986,20,0.7496971718148292,0.7539300372785697,0.7492517986014228,0.7482201866559753,0.7568141750252364,0.7515826738752067,0.003261077646770442,20
6.777242755889892,0.3898526292555419,0.10581226348876953,0.0007862660483646272,100,128,"{'max_iter': 100, 'max_leaf_nodes': 128}",0.745375,0.7491875,0.748875,0.7478125,0.7546875,0.7491875,0.0030585433624521164,18,0.8837403916482,0.8849389170838636,0.8816716040173093,0.8854374644275581,0.8871542592592102,0.8845885272872283,0.0018250601773450031,18,0.7664629273136248,0.7678627672026703,0.7647492604975672,0.7675634243899395,0.7746438204284666,0.7682564399664538,0.003374933287150326,18
11.409986448287963,0.18001934097268565,0.11396565437316894,0.0004726840258257812,100,256,"{'max_iter': 100, 'max_leaf_nodes': 256}",0.7583125,0.7673125,0.7635,0.7670625,0.7681875,0.764875,0.0036511984333914443,14,0.892338756458658,0.8950271343754702,0.8916303006971767,0.8945953838997118,0.8964616937772633,0.8940106538416559,0.0017801157621945049,14,0.781252929293498,0.7863187923016318,0.7814433547012779,0.784289341016886,0.7898899149681906,0.7846388664562969,0.0032309037497198247,14
20.677486228942872,0.2019166669648724,0.12615351676940917,0.0007079810284407141,100,512,"{'max_iter': 100, 'max_leaf_nodes': 512}",0.7731875,0.774625,0.7725625,0.7770625,0.7789375,0.775275,0.0023977854366060048,10,0.8994570773006396,0.9009473391645385,0.898079545481612,0.901742255785203,0.9031550095540091,0.9006762454572005,0.001765410038624851,11,0.7925448015952338,0.7962626660211458,0.790441880903883,0.796753752351461,0.8020366384012875,0.7956079478546022,0.0039784594685194526,11
37.82532396316528,0.17710221672599133,0.14552412033081055,0.0008318508016022702,100,1024,"{'max_iter': 100, 'max_leaf_nodes': 1024}",0.7770625,0.7793125,0.7754375,0.7805625,0.782375,0.77895,0.0024642443060703396,8,0.9018986559122156,0.9033948883151582,0.8998470529404554,0.9039104317075002,0.9054891133347445,0.9029080284420147,0.001912707400062551,9,0.7969650341485912,0.8014828119340253,0.7957855037491868,0.801002906131537,0.8067725609233243,0.800401763377333,0.003879125177433896,9
7.277168416976929,0.16770648327226162,0.16291193962097167,0.0015568289772366387,200,64,"{'max_iter': 200, 'max_leaf_nodes': 64}",0.738125,0.7470625,0.7455625,0.7406875,0.7471875,0.743725,0.003663075893289659,19,0.8809822573324023,0.8837923339811472,0.8804255246425724,0.8829000752545831,0.8852261709248755,0.8826652724271161,0.0017738439152073643,19,0.7615800021550516,0.7671136999292513,0.7637077587937372,0.76402789476878,0.770433401422141,0.7653725514137922,0.0030856722703692407,19
12.332920742034911,0.1966167845705486,0.17489042282104492,0.001356493434372532,200,128,"{'max_iter': 200, 'max_leaf_nodes': 128}",0.7531875,0.7609375,0.761625,0.762875,0.766,0.760925,0.004240688328561765,16,0.8904579706665979,0.8921793718452063,0.8900342591939809,0.8940853193457002,0.8947394030917621,0.8922992648286495,0.0018803858393823406,15,0.7762941523235649,0.779324087889294,0.7786269351325261,0.7826171837146806,0.7868371049532876,0.7807398928026706,0.003658795409805523,15
21.577777576446532,0.17113651919812728,0.1951277256011963,0.0015278623847114622,200,256,"{'max_iter': 200, 'max_leaf_nodes': 256}",0.7674375,0.777625,0.772375,0.7754375,0.780125,0.7746000000000001,0.004396127557294021,11,0.8985908642199277,0.902058609717789,0.8985329124554206,0.901978303522276,0.903659954418723,0.9009641288668272,0.002051200248364217,10,0.7925892281876269,0.7987876083841378,0.7917552557721391,0.7977309808344343,0.8022148338796281,0.7966155814115933,0.003928046100758209,10
40.2704110622406,0.19594930924473342,0.2261354446411133,0.0013094467248658459,200,512,"{'max_iter': 200, 'max_leaf_nodes': 512}",0.7771875,0.782125,0.777625,0.7805625,0.7856875,0.7806374999999999,0.0031208472407344584,6,0.9041383346055282,0.9056901065815808,0.9030091839028849,0.9070372838698203,0.907591747727125,0.9054933313373879,0.0017223742847329976,6,0.8007370591272628,0.8032054623204653,0.7988251654278691,0.8048538642227561,0.8091263174929656,0.8033495737182637,0.003548237013555399,6
77.62176823616028,4.054666943277195,0.2732823848724365,0.001674023421433398,200,1024,"{'max_iter': 200, 'max_leaf_nodes': 1024}",0.779875,0.7851875,0.780625,0.7846875,0.7864375,0.7833625,0.002615279621761321,2,0.9054478945729109,0.9073996260385412,0.9040248109708274,0.9075665998521242,0.9085255932272843,0.9065929049323376,0.0016272873196689112,5,0.8019207346924354,0.8068721482193443,0.8010968933757171,0.8072018537215925,0.8109703884193865,0.8056124036856952,0.0036562155688212913,5
