mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auroc,split1_test_auroc,split2_test_auroc,split3_test_auroc,split4_test_auroc,mean_test_auroc,std_test_auroc,rank_test_auroc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc
0.04779758453369141,0.021480569419459212,52.947863531112674,1.6925443371345337,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",0.572875,0.5721875,0.5699375,0.5704375,0.5690625,0.5709,0.0014195069566578305,11,0.8240270152389603,0.8264832394582818,0.8264546596858882,0.8277974484620501,0.8250200855806517,0.8259564896851664,0.0013049515068994533,10,0.6894280874754406,0.6900012375008373,0.6943141713793141,0.6972553548463893,0.691781189746567,0.6925560081897097,0.0029012439293597926,7
0.05342683792114258,0.02276795063793382,51.62551712989807,7.196099120223669,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",0.6476875,0.6510625,0.6489375,0.647125,0.6449375,0.64795,0.002024228247999696,1,0.8300326349783802,0.8332328018353957,0.8329834125117203,0.834009406008887,0.8315707715619552,0.8323658053792677,0.001407857048490902,7,0.6964318391821666,0.6978167405889163,0.7016003534613325,0.7046728494280027,0.6982233333181881,0.6997490231957213,0.0029912085842622883,3
0.0378936767578125,0.022887691717326273,47.66386947631836,2.4348399239455527,16,uniform,"{'n_neighbors': 16, 'weights': 'uniform'}",0.5905625,0.5930625,0.58775,0.591,0.5860625,0.5896875,0.002480864264727111,6,0.8338298947850756,0.8347018271888409,0.8343076976807814,0.8370173752340118,0.8371026565253391,0.8353918902828097,0.0013899937460330367,6,0.6931857558198895,0.690773815230154,0.6964989936783407,0.7006368991743052,0.6982872346249785,0.6958765397055335,0.003525281157743416,5
0.029555082321166992,0.00631979720847713,44.50434160232544,2.254121587668218,16,distance,"{'n_neighbors': 16, 'weights': 'distance'}",0.63625,0.637,0.634,0.6363125,0.6316875,0.6350499999999999,0.001961902775368858,2,0.8386392837468483,0.8400948418102053,0.839678361783363,0.8420732895219197,0.8418184070514103,0.8404608367827493,0.001304398388346363,2,0.6995126838128968,0.6977465021447916,0.7037885625923751,0.7074347246147635,0.704369028774187,0.7025703003878028,0.003492857233708067,1
0.027418756484985353,0.005908130244710591,48.723481512069704,3.1254213835092655,32,uniform,"{'n_neighbors': 32, 'weights': 'uniform'}",0.5961875,0.5935625,0.591125,0.5934375,0.5933125,0.593525,0.0016064323826417248,5,0.8385567893543415,0.8370974668070209,0.8359872979055849,0.8395790922697558,0.8397448091946068,0.838193091106262,0.0014510010968844652,4,0.6967814774484845,0.6912781097101094,0.6927675238194276,0.698612464702632,0.6992923921572292,0.6957463935675766,0.003184308213627271,6
0.0344336986541748,0.008693410740662008,48.00134105682373,3.464944717985479,32,distance,"{'n_neighbors': 32, 'weights': 'distance'}",0.6211875,0.6221875,0.6164375,0.6195,0.6184375,0.6195499999999999,0.0020280840712357203,3,0.8420219078255089,0.8409870090808694,0.8399864030640769,0.843438046235511,0.8432904211341063,0.8419447574680146,0.0013265826900373183,1,0.7016565771201924,0.6967615394686656,0.6987969541248434,0.7045321621185372,0.7044459192708891,0.7012386304206255,0.003076194362629195,2
0.029828453063964845,0.007960695613681772,49.62079567909241,3.1769826896135367,64,uniform,"{'n_neighbors': 64, 'weights': 'uniform'}",0.588375,0.58875,0.5861875,0.5913125,0.586,0.588125,0.0019433379788395201,7,0.8362016304820723,0.8355012625464188,0.8346039644471359,0.837726686616513,0.8387279183232345,0.8365522924830749,0.0014923913212923805,5,0.6928307477539105,0.6858572387615781,0.6918633991553923,0.6932795347960171,0.6969337974434296,0.6921529435820656,0.003586221550996803,8
0.039125919342041016,0.030401871013480002,48.14527540206909,1.6252735854239588,64,distance,"{'n_neighbors': 64, 'weights': 'distance'}",0.604375,0.603625,0.602,0.6068125,0.6005625,0.603475,0.002127425086812689,4,0.8389937696783775,0.8383919487550434,0.8376333396703393,0.8407044612023178,0.84147630539273,0.8394399649397617,0.0014357545916515366,3,0.6969291894751771,0.6903100335987832,0.6962542710226033,0.6979291317885714,0.7010129700384548,0.696487119184718,0.0034919552415290872,4
0.0312044620513916,0.0073940374693963334,48.45860056877136,2.8328847792504135,256,uniform,"{'n_neighbors': 256, 'weights': 'uniform'}",0.5745625,0.57925,0.574625,0.5780625,0.575,0.5763,0.0019658808458296955,9,0.828849955076164,0.8287193665468023,0.827349667059193,0.8300359051977676,0.8320590448924935,0.8294027877544841,0.0015776268752132807,9,0.681434876792868,0.6771390177782189,0.681086731648076,0.6832247398787016,0.688931048738639,0.6823632829673006,0.0038382840775157225,10
0.02536921501159668,0.004040538105435316,46.554748392105104,2.9798975603031574,256,distance,"{'n_neighbors': 256, 'weights': 'distance'}",0.5790625,0.58225,0.5786875,0.5819375,0.57875,0.5801375,0.001605362108684522,8,0.8306632251090885,0.8305222064583161,0.8291512556799784,0.8318482360940549,0.8338666924773958,0.8312103231637668,0.0015796082186141068,8,0.6841315087236234,0.6797552346544644,0.6837452709041988,0.6860715414121542,0.6916584233709059,0.6850723958130693,0.00388053560082009,9
0.04008126258850098,0.01746604315083096,58.246732521057126,4.005215901640473,1024,uniform,"{'n_neighbors': 1024, 'weights': 'uniform'}",0.568125,0.5719375,0.5693125,0.569875,0.5685625,0.5695625000000001,0.00133170473454141,12,0.8218162185944355,0.8220861428294963,0.8200094865509935,0.8226024571119942,0.8247180288798326,0.8222464667933505,0.001513290860677806,12,0.6721307049177244,0.6686729732582766,0.6724037917477804,0.674066463912796,0.680695541043217,0.6735938949759588,0.003960541368461127,12
0.024938201904296874,0.004776615837447306,57.07621622085571,4.038029357632755,1024,distance,"{'n_neighbors': 1024, 'weights': 'distance'}",0.57,0.5730625,0.571,0.571375,0.5696875,0.571025,0.0011928170438084934,10,0.8229003619427081,0.8231186915902405,0.8210893062158773,0.8236684796182128,0.8258129663059789,0.8233179611346035,0.001518480437522102,11,0.6736002338210773,0.6700755756853116,0.6739097606621733,0.6754739261826725,0.682287248912005,0.6750693490526479,0.004017523572478931,11
