mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auroc,split1_test_auroc,split2_test_auroc,split3_test_auroc,split4_test_auroc,mean_test_auroc,std_test_auroc,rank_test_auroc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc
0.004520845413208008,0.0004921836229701579,7.5754650115966795,1.8949422101521751,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",0.8942336874051593,0.8959028831562974,0.8977238239757208,0.8954476479514416,0.8981790591805766,0.8962974203338392,0.0014636911140258042,7,0.7431725442265459,0.7462634132703548,0.7420141149724654,0.7298881415102322,0.7699690551782341,0.7462614538315665,0.013097457552944338,13,0.6828701103457516,0.686207975515644,0.6896049610519717,0.6759974408776461,0.7026911767667848,0.6874743329115598,0.008838704548007175,7
0.00402522087097168,0.00022114147700442335,6.492316627502442,0.15150039931858042,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",0.888619119878604,0.8889226100151745,0.8901365705614568,0.8874051593323217,0.8910470409711685,0.8892261001517451,0.0012586610836618011,13,0.7359782582705203,0.736251742759501,0.7362519726750025,0.7250374992182873,0.7621548848611501,0.7391348715568924,0.012290196617196332,14,0.6597771962064919,0.6610849347583896,0.6585361386014399,0.6539521076432178,0.674312933885642,0.6615326622190363,0.006827319036638546,14
0.004215621948242187,0.0003490570983387662,6.801832389831543,0.2797214549210721,16,uniform,"{'n_neighbors': 16, 'weights': 'uniform'}",0.8959028831562974,0.8948406676783005,0.9009104704097117,0.8957511380880121,0.8986342943854325,0.897207890743551,0.002243775464555346,5,0.7592601916943484,0.7658598012058608,0.7663529699564815,0.7489990628644161,0.782779177981525,0.7646502407405265,0.011018463472009885,10,0.6936619286981088,0.6929663554821812,0.7051652571411041,0.6825862810492224,0.7091990371592954,0.6967157719059823,0.009489492145017283,4
0.004397106170654297,0.0006210567466200739,6.722151517868042,0.20339046115981474,16,distance,"{'n_neighbors': 16, 'weights': 'distance'}",0.8919575113808801,0.8910470409711685,0.8933232169954477,0.8927162367223065,0.8939301972685888,0.8925948406676785,0.0010129480587726051,11,0.7452298281335643,0.7522030503349408,0.7566291536534493,0.7445568654608059,0.7722093684156137,0.7541656531996748,0.010076448528197625,12,0.6647952426055281,0.66500689537236,0.666429974747452,0.6597569231411188,0.6798275256224479,0.6671633122977814,0.006723578979366934,12
0.004526901245117188,0.0006529930229765394,6.640045404434204,0.16271607052648918,32,uniform,"{'n_neighbors': 32, 'weights': 'uniform'}",0.8955993930197269,0.8996965098634294,0.9018209408194233,0.898937784522003,0.8998482549317147,0.8991805766312595,0.002028168066355493,2,0.7605419706149597,0.7673627588388716,0.7755207356192453,0.7630436811862904,0.7859882535982685,0.770491479971527,0.009270326254413002,7,0.6911507159525404,0.6966265233989584,0.7057247446201541,0.6873960630823364,0.7096648581962355,0.6981125810500449,0.008448903263867082,3
0.00437312126159668,0.0004412504154148274,6.444567394256592,0.15017209181846752,32,distance,"{'n_neighbors': 32, 'weights': 'distance'}",0.8937784522003035,0.895144157814871,0.8963581183611533,0.8946889226100152,0.8975720789074355,0.8955083459787557,0.0013249699516202195,8,0.7470713363424675,0.7532089306538061,0.7650688918808559,0.7551121711748499,0.7726838174083281,0.7586290294920616,0.009103130513596019,11,0.6641094497776012,0.6677887138234919,0.6697710849706562,0.6633897639088125,0.6801105889664387,0.6690339202894002,0.006014872416951558,10
0.006028652191162109,0.003952767745484541,6.594480323791504,0.08996584042027025,64,uniform,"{'n_neighbors': 64, 'weights': 'uniform'}",0.8971168437025797,0.9015174506828528,0.9021244309559939,0.8986342943854325,0.9004552352048558,0.899969650986343,0.0018545209247286228,1,0.7739463892230327,0.7709549586336029,0.7837369959792377,0.7660721281714544,0.7968556846039464,0.7783132313222547,0.010920603371487193,4,0.690386064520353,0.6967942155720375,0.7030086185585561,0.6883309843028661,0.7137368704085179,0.698451350672466,0.009215558117643071,1
0.005396509170532226,0.0013220142960242898,6.664491415023804,0.4589301726497477,64,distance,"{'n_neighbors': 64, 'weights': 'distance'}",0.8945371775417299,0.8977238239757208,0.8983308042488619,0.8954476479514416,0.8981790591805766,0.8968437025796663,0.0015516628869395033,6,0.7569958688782699,0.7558108843837712,0.7708842596169057,0.7575086954042649,0.783212405486247,0.7648824227538917,0.010685248786612006,9,0.6651977268472171,0.6676585789255474,0.6690046786993247,0.6632074225978999,0.6824184129751127,0.6694973640090204,0.006762065046422393,9
0.0049492835998535155,0.0017643619177625856,6.71278190612793,0.2688721248839297,256,uniform,"{'n_neighbors': 256, 'weights': 'uniform'}",0.8948406676783005,0.8993930197268589,0.8980273141122913,0.8952959028831563,0.9003034901365705,0.8975720789074355,0.0021737183101025585,3,0.7824039459018022,0.7851436190171388,0.7981280969618048,0.7719919925029155,0.8046459717190737,0.7884627252205471,0.011613157944393852,1,0.69424982814478,0.6960118232781035,0.7057788028901308,0.6848617954399413,0.7101314470324271,0.6982067393570766,0.008922971818608346,2
0.004823875427246094,0.0007998192989330298,6.6320565700531,0.1872635756709705,256,distance,"{'n_neighbors': 256, 'weights': 'distance'}",0.892412746585736,0.8968133535660091,0.8937784522003035,0.8925644916540213,0.8977238239757208,0.894658573596358,0.0022019249951098,9,0.7623692240627725,0.7663046877011761,0.7818682427834123,0.7637830894389694,0.7899520613614573,0.7728554610695576,0.011033636762667562,5,0.6645583964099185,0.6676790036984979,0.6720750614256223,0.6630804860942193,0.6822049694379845,0.6699195834132485,0.0068718639526780985,8
